participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,ingreso_datos.1.player.id_in_group,ingreso_datos.1.player.age,ingreso_datos.1.player.gender,ingreso_datos.1.player.education,ingreso_datos.1.player.Q1,ingreso_datos.1.player.Q2,ingreso_datos.1.player.Q3,ingreso_datos.1.player.Q4,ingreso_datos.1.player.Q5,ingreso_datos.1.player.Q6,ingreso_datos.1.player.Q7,ingreso_datos.1.player.Q8,ingreso_datos.1.player.Q9,ingreso_datos.1.player.Q10,ingreso_datos.1.player.subsession_id,ingreso_datos.1.player.group_id,ingreso_datos.1.player.payoff,ingreso_datos.1.group.id_in_subsession,ingreso_datos.1.group.subsession_id,ingreso_datos.1.subsession.round_number,bret.1.player.id_in_group,bret.1.player.bomb,bret.1.player.bomb_row,bret.1.player.bomb_col,bret.1.player.boxes_collected,bret.1.player.pay_this_round,bret.1.player.round_result,bret.1.player.subsession_id,bret.1.player.group_id,bret.1.player.payoff,bret.1.group.id_in_subsession,bret.1.group.subsession_id,bret.1.subsession.round_number,bret.2.player.id_in_group,bret.2.player.bomb,bret.2.player.bomb_row,bret.2.player.bomb_col,bret.2.player.boxes_collected,bret.2.player.pay_this_round,bret.2.player.round_result,bret.2.player.subsession_id,bret.2.player.group_id,bret.2.player.payoff,bret.2.group.id_in_subsession,bret.2.group.subsession_id,bret.2.subsession.round_number,bret.3.player.id_in_group,bret.3.player.bomb,bret.3.player.bomb_row,bret.3.player.bomb_col,bret.3.player.boxes_collected,bret.3.player.pay_this_round,bret.3.player.round_result,bret.3.player.subsession_id,bret.3.player.group_id,bret.3.player.payoff,bret.3.group.id_in_subsession,bret.3.group.subsession_id,bret.3.subsession.round_number,bret.4.player.id_in_group,bret.4.player.bomb,bret.4.player.bomb_row,bret.4.player.bomb_col,bret.4.player.boxes_collected,bret.4.player.pay_this_round,bret.4.player.round_result,bret.4.player.subsession_id,bret.4.player.group_id,bret.4.player.payoff,bret.4.group.id_in_subsession,bret.4.group.subsession_id,bret.4.subsession.round_number,bret.5.player.id_in_group,bret.5.player.bomb,bret.5.player.bomb_row,bret.5.player.bomb_col,bret.5.player.boxes_collected,bret.5.player.pay_this_round,bret.5.player.round_result,bret.5.player.subsession_id,bret.5.player.group_id,bret.5.player.payoff,bret.5.group.id_in_subsession,bret.5.group.subsession_id,bret.5.subsession.round_number,lottery_game.1.player.id_in_group,lottery_game.1.player.loteria,lottery_game.1.player.coin,lottery_game.1.player.subsession_id,lottery_game.1.player.group_id,lottery_game.1.player.payoff,lottery_game.1.group.id_in_subsession,lottery_game.1.group.subsession_id,lottery_game.1.subsession.round_number,lottery_game.2.player.id_in_group,lottery_game.2.player.loteria,lottery_game.2.player.coin,lottery_game.2.player.subsession_id,lottery_game.2.player.group_id,lottery_game.2.player.payoff,lottery_game.2.group.id_in_subsession,lottery_game.2.group.subsession_id,lottery_game.2.subsession.round_number,lottery_game.3.player.id_in_group,lottery_game.3.player.loteria,lottery_game.3.player.coin,lottery_game.3.player.subsession_id,lottery_game.3.player.group_id,lottery_game.3.player.payoff,lottery_game.3.group.id_in_subsession,lottery_game.3.group.subsession_id,lottery_game.3.subsession.round_number,lottery_game.4.player.id_in_group,lottery_game.4.player.loteria,lottery_game.4.player.coin,lottery_game.4.player.subsession_id,lottery_game.4.player.group_id,lottery_game.4.player.payoff,lottery_game.4.group.id_in_subsession,lottery_game.4.group.subsession_id,lottery_game.4.subsession.round_number,lottery_game.5.player.id_in_group,lottery_game.5.player.loteria,lottery_game.5.player.coin,lottery_game.5.player.subsession_id,lottery_game.5.player.group_id,lottery_game.5.player.payoff,lottery_game.5.group.id_in_subsession,lottery_game.5.group.subsession_id,lottery_game.5.subsession.round_number
1,p6i90lpz,,0,7,37,bret,2,Decision,10.91.166.137,2018-04-17 00:56:47.464663+00:00,1,,,20,20.00,85995ou1,,,,,,1,1.0,0.00,1,24,Hombre,Universidad (pregrado),,,,7,6,5,4,3,2,1,1,1,0,1,1,1,1,0,1,7,20,,20,1,1,20,1,1,1,1,,,,,,,2,2,0,1,2,2,1,,,,,,,3,3,0,1,3,3,1,,,,,,,4,4,0,1,4,4,1,,,,,,,5,5,0,1,5,5,1,,2,1,1,0,1,1,1,1,,7,2,2,0,1,2,2,1,,9,3,3,0,1,3,3,1,,9,4,4,0,1,4,4,1,,4,5,5,0,1,5,5
1,jgj2795j,,0,4,37,bret,1,Decision,10.9.233.102,2018-04-17 01:01:45.227189+00:00,1,,,0,0.00,3gls2nfy,,,,,,1,1.0,0.00,1,26,Hombre,Universidad (pregrado),,,,,,,,,,,2,2,0,1,2,1,1,,,,,,,6,6,0,1,6,1,1,,,,,,,7,7,0,1,7,2,1,,,,,,,8,8,0,1,8,3,1,,,,,,,9,9,0,1,9,4,1,,,,,,,10,10,0,1,10,5,1,,4,6,6,0,1,6,1,1,,5,7,7,0,1,7,2,1,,5,8,8,0,1,8,3,1,,2,9,9,0,1,9,4,1,,8,10,10,0,1,10,5
1,veygm990,,0,2,15,bret,1,Decision,10.33.226.28,2018-04-17 01:02:34.392614+00:00,1,,,0,0.00,epm2s0eq,,,,,,1,1.0,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,,11,11,0,1,11,1,1,,,,,,,12,12,0,1,12,2,1,,,,,,,13,13,0,1,13,3,1,,,,,,,14,14,0,1,14,4,1,,,,,,,15,15,0,1,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,fb5mar14,,0,0,37,,,,,,0,,,0,0.00,etjdt9ta,,,,,,1,1.0,0.00,1,,,,,,,,,,,,,,3,3,0,1,3,1,1,,,,,,,16,16,0,1,16,1,1,,,,,,,17,17,0,1,17,2,1,,,,,,,18,18,0,1,18,3,1,,,,,,,19,19,0,1,19,4,1,,,,,,,20,20,0,1,20,5,1,,4,11,11,0,1,11,1,1,,10,12,12,0,1,12,2,1,,9,13,13,0,1,13,3,1,,10,14,14,0,1,14,4,1,,7,15,15,0,1,15,5
1,dhx58ile,,0,0,37,,,,,,0,,,0,0.00,ofmsv444,,,,,,1,1.0,0.00,1,,,,,,,,,,,,,,4,4,0,1,4,1,1,,,,,,,21,21,0,1,21,1,1,,,,,,,22,22,0,1,22,2,1,,,,,,,23,23,0,1,23,3,1,,,,,,,24,24,0,1,24,4,1,,,,,,,25,25,0,1,25,5,1,,3,16,16,0,1,16,1,1,,9,17,17,0,1,17,2,1,,6,18,18,0,1,18,3,1,,7,19,19,0,1,19,4,1,,10,20,20,0,1,20,5
1,gg70dljc,,0,4,37,bret,1,Decision,10.45.100.228,2018-04-17 01:04:25.912893+00:00,1,,,0,0.00,ebdyfxvo,,,,,,1,1.0,0.00,1,20,Hombre,Universidad (pregrado),,,,,,,,,,,5,5,0,1,5,1,1,,,,,,,26,26,0,1,26,1,1,,,,,,,27,27,0,1,27,2,1,,,,,,,28,28,0,1,28,3,1,,,,,,,29,29,0,1,29,4,1,,,,,,,30,30,0,1,30,5,1,,5,21,21,0,1,21,1,1,,6,22,22,0,1,22,2,1,,10,23,23,0,1,23,3,1,,8,24,24,0,1,24,4,1,,8,25,25,0,1,25,5
1,nzzmgdhv,,0,2,15,bret,1,Decision,10.65.108.122,2018-04-17 01:04:10.590199+00:00,1,,,0,0.00,0upqwmlz,,,,,,1,1.0,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,,31,31,0,1,31,1,1,,,,,,,32,32,0,1,32,2,1,,,,,,,33,33,0,1,33,3,1,,,,,,,34,34,0,1,34,4,1,,,,,,,35,35,0,1,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8wb83lal,,0,4,37,bret,1,Decision,10.148.31.26,2018-04-17 01:05:35.903550+00:00,1,,,0,0.00,mjn52i83,,,,,,1,1.0,0.00,1,28,Hombre,Universidad (pregrado),,,,,,,,,,,6,6,0,1,6,1,1,,,,,,,36,36,0,1,36,1,1,,,,,,,37,37,0,1,37,2,1,,,,,,,38,38,0,1,38,3,1,,,,,,,39,39,0,1,39,4,1,,,,,,,40,40,0,1,40,5,1,,3,26,26,0,1,26,1,1,,4,27,27,0,1,27,2,1,,7,28,28,0,1,28,3,1,,9,29,29,0,1,29,4,1,,4,30,30,0,1,30,5
1,giliu3x6,,0,1,20,lottery_game,1,Instructions,10.101.219.132,2018-04-17 01:10:39.377204+00:00,1,,,0,0.00,49m0xjr4,,,,,,1,1.0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,31,31,0,1,31,1,1,,4,32,32,0,1,32,2,1,,8,33,33,0,1,33,3,1,,10,34,34,0,1,34,4,1,,7,35,35,0,1,35,5
1,r74o9832,,0,2,15,bret,1,Decision,10.101.219.132,2018-04-17 01:10:50.226018+00:00,1,,,0,0.00,epk9duj4,,,,,,1,1.0,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,,41,41,0,1,41,1,1,,,,,,,42,42,0,1,42,2,1,,,,,,,43,43,0,1,43,3,1,,,,,,,44,44,0,1,44,4,1,,,,,,,45,45,0,1,45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
